Project,Specification,Area,Value
Narayan Park Phase 2,1 BHK Residential Apartment in Mahadeonagar,470 sq.ft. (44 sq.m.) Super built-up Area,"₹ 20.65 Lac₹ 4,393/sq.ft."
Ratan Neptune,1 BHK Residential Apartment in Hadapsar,585 sq.ft. (54 sq.m.) Super built-up Area,"₹ 25 Lac₹ 4,273/sq.ft."
Blue Carnation,1 BHK Residential Apartment in Hadapsar,660 sq.ft. (61 sq.m.) Super built-up Area,"₹ 33 Lac₹ 5,000/sq.ft."
Akshar Altorios,1 BHK Residential Apartment in Hadapsar,598 sq.ft. (56 sq.m.) Super built-up Area,"₹ 60 Lac₹ 10,033/sq.ft."
Pawar Maple Leaf,1 BHK Residential Apartment in Hadapsar,600 sq.ft. (56 sq.m.) Super built-up Area,"₹ 45 Lac₹ 7,500/sq.ft."
Nilesh Samrudhi Hadapsar,1 BHK Residential Apartment in Hadapsar,540 sq.ft. (50 sq.m.) Super built-up Area,"₹ 35 Lac₹ 6,481/sq.ft."
Kalpataru Serenity,2 BHK Independent Builder Floor in Manjari Budruk,860 sq.ft. (80 sq.m.) Super built-up Area,"₹ 59 Lac₹ 6,860/sq.ft."
SMP Siddhivinayak Angan,2 BHK Residential Apartment in Hadapsar,710 sq.ft. (66 sq.m.) Carpet Area,"₹ 45 Lac₹ 6,338/sq.ft."
Satyam Shivam Sundaram,2 BHK Residential Apartment in Nandini Takle Nagar,900 sq.ft. (84 sq.m.) Super built-up Area,"₹ 55 Lac₹ 6,111/sq.ft."
Ratan Neptune,2 BHK Residential Apartment in Hadapsar,915 sq.ft. (85 sq.m.) Carpet Area,"₹ 45 Lac₹ 4,918/sq.ft."
Yashraj Green Castle Hsg Soc,2 BHK Residential Apartment in Kalepadal,710 sq.ft. (66 sq.m.) Built-up Area,"₹ 52 Lac₹ 7,323/sq.ft."
Ishwar Residency,1 BHK Residential Apartment in Tukaram Tupe Nagar,828 sq.ft. (77 sq.m.) Super built-up Area,"₹ 25.99 Lac₹ 3,353/sq.ft."
Ishwar Residency,1 BHK Residential Apartment in Tukaram Tupe Nagar,750 sq.ft. (70 sq.m.) Super built-up Area,"₹ 25.99 Lac₹ 3,465/sq.ft."
Anandi Park,(1 RK) Studio Apartment in Manjari Budruk,400 sq.ft. (37 sq.m.) Built-up Area,"₹ 13.5 Lac₹ 3,375/sq.ft."
"Shree Swami Samarthkrupa, Rajbaug Colony",1 BHK Residential Apartment in Manjari Budruk,580 sq.ft. (54 sq.m.) Super built-up Area,"₹ 23 Lac₹ 3,965/sq.ft."
On Request,2 BHK Residential Apartment in Kale Padal,"1,700 sq.ft. (158 sq.m.) Super built-up Area","₹ 80 Lac₹ 4,705/sq.ft."
Gini Sanskruti,2 BHK Residential Apartment in Udyog Nagar,"1,050 sq.ft. (98 sq.m.) Super built-up Area","₹ 55 Lac₹ 5,238/sq.ft."
Rutusha Heights,1 BHK Residential Apartment in Hadapsar,528 sq.ft. (49 sq.m.) Super built-up Area,"₹ 30.5 Lac₹ 5,777/sq.ft."
,3 BHK Independent Builder Floor in Hadapsar,"4,610 sq.ft. (428 sq.m.) Super built-up Area","₹ 2.1 Cr₹ 4,555/sq.ft."
Nilesh Classic,1 BHK Residential Apartment in Sai Colony,627 sq.ft. (58 sq.m.) Super built-up Area,"₹ 28.5 Lac₹ 3,904/sq.ft."
Kohinoor Ambrosia Apartments,1 BHK Residential Apartment in Hadapsar,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 38 Lac₹ 5,429/sq.ft."
Silver Tower,2 BHK Residential Apartment in Hadapsar,"1,800 sq.ft. (167 sq.m.) Super built-up Area","₹ 58 Lac₹ 3,223/sq.ft."
Smart Heights,1 BHK Residential Apartment in Hadapsar,525 sq.ft. (49 sq.m.) Super built-up Area,"₹ 23 Lac₹ 4,381/sq.ft."
Leisure Town,2 BHK Residential Apartment in Hadapsar,551 sq.ft. (51 sq.m.) Carpet Area,"₹ 65 Lac₹ 11,796/sq.ft."
Ratan Neptune,1 BHK Residential Apartment in Hadapsar,585 sq.ft. (54 sq.m.) Super built-up Area,"₹ 28 Lac₹ 4,786/sq.ft."
Dreams Rachana,1 BHK Residential Apartment in Shiv Nagar,613 sq.ft. (57 sq.m.) Super built-up Area,"₹ 30 Lac₹ 4,893/sq.ft."
Dreams Solace,1 BHK Residential Apartment in Satar Nagar,580 sq.ft. (54 sq.m.) Super built-up Area,"₹ 25.5 Lac₹ 4,396/sq.ft."
Bhairavnath Complex,3 BHK Residential Apartment in Tukai Darshan,"1,400 sq.ft. (130 sq.m.) Carpet Area","₹ 92 Lac₹ 6,571/sq.ft."
Ram India Sampanna Homes,2 BHK Residential Apartment in Manjri,"1,010 sq.ft. (94 sq.m.) Super built-up Area","₹ 55 Lac₹ 5,445/sq.ft."
vanshree apartmentsHadapsar,2 BHK Residential Apartment in Hadapsar,950 sq.ft. (88 sq.m.) Super built-up Area,"₹ 57 Lac₹ 6,000/sq.ft."
Shanti Nagar Chs,1 BHK Residential Apartment in Hadapsar,540 sq.ft. (50 sq.m.) Built-up Area,"₹ 35 Lac₹ 6,481/sq.ft."
Green Field CHS,2 BHK Residential Apartment in Hadapsar,940 sq.ft. (87 sq.m.) Super built-up Area,"₹ 65 Lac₹ 6,914/sq.ft."
The Laurel's Society,1 BHK Residential Apartment in Gadital,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 52.46 Lac₹ 7,494/sq.ft."
Om Geet Mala,1 BHK Residential Apartment in Udyog Nagar,660 sq.ft. (61 sq.m.) Built-up Area,"₹ 38 Lac₹ 5,757/sq.ft."
Shrikrishna Avenue,2 BHK Residential Apartment in Kalepadal,725 sq.ft. (67 sq.m.) Built-up Area,"₹ 38 Lac₹ 5,241/sq.ft."
Suyash Srushti,1 BHK Residential Apartment in Hadapsar,605 sq.ft. (56 sq.m.) Super built-up Area,"₹ 29 Lac₹ 4,793/sq.ft."
Kuber Shrusti,1 BHK Residential Apartment in Hadapsar,560 sq.ft. (52 sq.m.) Super built-up Area,"₹ 32 Lac₹ 5,310/sq.ft."
The Laurel's,1 BHK Residential Apartment in Gadital,750 sq.ft. (70 sq.m.) Super built-up Area,"₹ 52.55 Lac₹ 7,006/sq.ft."
Shivangan Heights,1 BHK Residential Apartment in Mahadeonagar,550 sq.ft. (51 sq.m.) Built-up Area,"₹ 26 Lac₹ 4,728/sq.ft."
Nilesh Samruddhi,1 BHK Residential Apartment in Hadapsar,650 sq.ft. (60 sq.m.) Super built-up Area,"₹ 33 Lac₹ 5,384/sq.ft."
A V Bhat Etasha,2 BHK Residential Apartment in Hadapsar,"1,150 sq.ft. (107 sq.m.) Super built-up Area","₹ 60 Lac₹ 5,217/sq.ft."
Kumar Pebble Park,2 BHK Residential Apartment in Hadapsar,956 sq.ft. (89 sq.m.) Super built-up Area,"₹ 58.62 Lac₹ 6,131/sq.ft."
Krishnas Blessings,1 BHK Residential Apartment in Manjri,721 sq.ft. (67 sq.m.) Super built-up Area,"₹ 54 Lac₹ 7,490/sq.ft."
Dreams Aakruti,2 BHK Residential Apartment in Hadapsar,900 sq.ft. (84 sq.m.) Super built-up Area,"₹ 55 Lac₹ 6,111/sq.ft."
Hights,10 BHK Residential Apartment in Tukai Darshan,"5,000 sq.ft. (465 sq.m.) Built-up Area","₹ 1.4 Cr₹ 2,800/sq.ft."
Narayani Apartments,2 BHK Residential Apartment in Manjari Budruk,780 sq.ft. (72 sq.m.) Super built-up Area,"₹ 55 Lac₹ 7,052/sq.ft."
Dreams Solace,1 BHK Residential Apartment in Satar Nagar,551 sq.ft. (51 sq.m.) Super built-up Area,"₹ 32 Lac₹ 5,808/sq.ft."
kalpana homes,1 BHK Residential Apartment in Hadapsar,560 sq.ft. (52 sq.m.) Super built-up Area,"₹ 26 Lac₹ 4,642/sq.ft."
Unique Enclave,2 BHK Residential Apartment in Sade Satra Nali,992 sq.ft. (92 sq.m.) Built-up Area,"₹ 68 Lac₹ 7,157/sq.ft."
I Build Shubharambh,2 BHK Residential Apartment in Hadapsar,950 sq.ft. (88 sq.m.) Built-up Area,"₹ 52 Lac₹ 5,473/sq.ft."
Manoj Rajtara Complex,2 BHK Residential Apartment in Manjri,"1,216 sq.ft. (113 sq.m.) Built-up Area","₹ 55 Lac₹ 4,159/sq.ft."
Iris,2 BHK Residential Apartment in Hadapsar,985 sq.ft. (92 sq.m.) Built-up Area,"₹ 95 Lac₹ 9,644/sq.ft."
Damodar Vihar,1 BHK Residential Apartment in Manjri,550 sq.ft. (51 sq.m.) Carpet Area,"₹ 34 Lac₹ 6,181/sq.ft."
SKYi Iris,2 BHK Residential Apartment in Magarpatta,931 sq.ft. (86 sq.m.) Super built-up Area,"₹ 88 Lac₹ 9,452/sq.ft."
Dreams Aakruti,1 BHK Residential Apartment in Hadapsar,550 sq.ft. (51 sq.m.) Super built-up Area,"₹ 27.8 Lac₹ 5,054/sq.ft."
Gini Sanskruti,2 BHK Residential Apartment in Udyog Nagar,"1,050 sq.ft. (98 sq.m.) Super built-up Area","₹ 58 Lac₹ 5,523/sq.ft."
,3 Bedroom Independent House in Hadapsar,"2,200 sq.ft. (204 sq.m.) Built-up Area","₹ 1.25 Cr₹ 5,681/sq.ft."
,1 BHK Independent Builder Floor in Hadapsar,635 sq.ft. (59 sq.m.) Built-up Area,"₹ 33 Lac₹ 5,197/sq.ft."
Subhash Vardhaman Township,2 BHK Residential Apartment in Hadapsar,981 sq.ft. (91 sq.m.) Built-up Area,"₹ 65 Lac₹ 6,625/sq.ft."
Chourang Smitshilp,2 BHK Residential Apartment in Mahadeonagar,"1,350 sq.ft. (125 sq.m.) Super built-up Area","₹ 75 Lac₹ 5,556/sq.ft."
Krishnas Blessings,2 BHK Residential Apartment in Manjri,"1,100 sq.ft. (102 sq.m.) Super built-up Area","₹ 85 Lac₹ 7,727/sq.ft."
Nhavale Nisarg Classic,1 BHK Residential Apartment in Bijle Nagar,650 sq.ft. (60 sq.m.) Super built-up Area,"₹ 29 Lac₹ 4,461/sq.ft."
greenfield chs,2 BHK Residential Apartment in Hadapsar,641 sq.ft. (60 sq.m.) Carpet Area,"₹ 65 Lac₹ 10,125/sq.ft."
Amanora Trendy Homes,2 BHK Residential Apartment in Hadapsar,"1,070 sq.ft. (99 sq.m.) Super built-up Area","₹ 83 Lac₹ 7,757/sq.ft."
Chourang Smit Shilp Housing Society,1 BHK Residential Apartment in Manjari Budruk,610 sq.ft. (57 sq.m.) Carpet Area,"₹ 27 Lac₹ 4,426/sq.ft."
Siddhivinayak Pride,2 BHK Residential Apartment in Manjari Budruk,750 sq.ft. (70 sq.m.) Carpet Area,"₹ 65 Lac₹ 8,666/sq.ft."
Kumar Kubera Sankul Riddhi,2 BHK Residential Apartment in Hadapsar,780 sq.ft. (72 sq.m.) Super built-up Area,"₹ 55 Lac₹ 7,051/sq.ft."
Amanora Park Town,(1 RK) Studio Apartment in Hadapsar,400 sq.ft. (37 sq.m.) Super built-up Area,"₹ 45 Lac₹ 11,250/sq.ft."
Leisure Town,2 BHK Residential Apartment in Hadapsar,"1,015 sq.ft. (94 sq.m.) Super built-up Area","₹ 75 Lac₹ 7,390/sq.ft."
shreekrushna complex sasane nagar,1 BHK Residential Apartment in Hadapsar,547 sq.ft. (51 sq.m.) Super built-up Area,"₹ 40 Lac₹ 7,312/sq.ft."
Karia Konark Vista,3 BHK Residential Apartment in Magarpatta,"2,511 sq.ft. (233 sq.m.) Super built-up Area","₹ 2.6 Cr₹ 10,355/sq.ft."
Nagpal Marigold,2 BHK Residential Apartment in Hadapsar,949 sq.ft. (88 sq.m.) Super built-up Area,"₹ 40 Lac₹ 4,215/sq.ft."
Dhaval Windscape,1 BHK Residential Apartment in Hadapsar,688 sq.ft. (64 sq.m.) Super built-up Area,"₹ 31 Lac₹ 4,506/sq.ft."
Samarth nivara Housing Society,1 BHK Residential Apartment in Manjari Budruk,510 sq.ft. (47 sq.m.) Carpet Area,"₹ 22.1 Lac₹ 4,333/sq.ft."
Casafeliz,3 BHK Residential Apartment in Magarpatta,"1,645 sq.ft. (153 sq.m.) Built-up Area","₹ 1.42 Cr₹ 8,814/sq.ft."
Harpale Siya Heights,(1 RK) Studio Apartment in Hadapsar,405 sq.ft. (38 sq.m.) Super built-up Area,"₹ 16 Lac₹ 3,951/sq.ft."
Dnyanyash Park,1 BHK Residential Apartment in Gondhale Nagar,650 sq.ft. (60 sq.m.) Super built-up Area,"₹ 28 Lac₹ 4,308/sq.ft."
Amanora Trendy Homes,3 BHK Residential Apartment in Hadapsar,"1,070 sq.ft. (99 sq.m.) Super built-up Area","₹ 85 Lac₹ 7,943/sq.ft."
Swapnapurti Housing Society,1 BHK Residential Apartment in Hadapsar,383 sq.ft. (36 sq.m.) Built-up Area,"₹ 24 Lac₹ 6,267/sq.ft."
Dreams Aakruti,1 BHK Residential Apartment in Hadapsar,676 sq.ft. (63 sq.m.) Built-up Area,"₹ 40 Lac₹ 5,918/sq.ft."
Amanora Trendy Homes,1 BHK Residential Apartment in Hadapsar,676 sq.ft. (63 sq.m.) Super built-up Area,"₹ 62 Lac₹ 9,171/sq.ft."
Dhavel Unnati,1 BHK Residential Apartment in Unnatinagar,580 sq.ft. (54 sq.m.) Super built-up Area,"₹ 29 Lac₹ 5,000/sq.ft."
Sai Residency,1 BHK Residential Apartment in Manjari Budruk,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 28 Lac₹ 4,000/sq.ft."
Siddhivinayak Colony,1 BHK Residential Apartment in Mahadeonagar,"1,000 sq.ft. (93 sq.m.) Super built-up Area","₹ 23 Lac₹ 2,300/sq.ft."
Simplicity Apartments,2 BHK Residential Apartment in Hadapsar,750 sq.ft. (70 sq.m.) Super built-up Area,"₹ 42 Lac₹ 5,600/sq.ft."
Mantri Market,1 BHK Residential Apartment in Hadapsar Gaon,675 sq.ft. (63 sq.m.) Carpet Area,"₹ 59.98 Lac₹ 8,885/sq.ft."
Gini Sanskruti,2 BHK Residential Apartment in Udyog Nagar,"1,045 sq.ft. (97 sq.m.) Super built-up Area","₹ 58 Lac₹ 5,550/sq.ft."
Amanora Neo Towers,1 BHK Residential Apartment in Hadapsar,517 sq.ft. (48 sq.m.) Carpet Area,"₹ 75 Lac₹ 14,483/sq.ft."
,2 BHK Independent Builder Floor in Hadapsar,750 sq.ft. (70 sq.m.) Built-up Area,"₹ 60 Lac₹ 8,000/sq.ft."
Ratan Neptune,2 BHK Residential Apartment in Hadapsar,690-915 sq.ft. (64-85 sq.m.) Carpet Area,₹ 38.7  - 38.7 Lac
New Front 48 East Park,1 BHK Residential Apartment in Kale Padal,583 sq.ft. (54 sq.m.) Super built-up Area,"₹ 31 Lac₹ 5,317/sq.ft."
Shivai Garden,2 BHK Residential Apartment in Hadapsar,750 sq.ft. (70 sq.m.) Super built-up Area,"₹ 60 Lac₹ 8,000/sq.ft."
Gemini Housing,2 BHK Residential Apartment in Shewalewadi,750 sq.ft. (70 sq.m.) Carpet Area,"₹ 81.5 Lac₹ 11,417/sq.ft."
Subhash Park,1 BHK Residential Apartment in Hadapsar,550 sq.ft. (51 sq.m.) Super built-up Area,"₹ 30 Lac₹ 5,454/sq.ft."
Laxmi residency,1 BHK Residential Apartment in Manjari Budruk,650 sq.ft. (60 sq.m.) Super built-up Area,"₹ 25.3 Lac₹ 4,067/sq.ft."
Namrata crystal Park,1 BHK Residential Apartment in Hadapsar,839 sq.ft. (78 sq.m.) Super built-up Area,"₹ 45 Lac₹ 5,363/sq.ft."
Shiv Angan Heights,1 BHK Residential Apartment in Manjri,600 sq.ft. (56 sq.m.) Built-up Area,"₹ 20 Lac₹ 3,334/sq.ft."
Kalpataru Serenity,2 BHK Residential Apartment in Manjri,760 sq.ft. (71 sq.m.) Carpet Area,"₹ 55 Lac₹ 7,236/sq.ft."
SV Agrawal Gardens,2 BHK Residential Apartment in Hadapsar Gaon,950 sq.ft. (88 sq.m.) Built-up Area,"₹ 59 Lac₹ 7,368/sq.ft."
Akshar Altorios,2 BHK Residential Apartment in Malwadi,"1,290 sq.ft. (120 sq.m.) Super built-up Area","₹ 91 Lac₹ 7,209/sq.ft."
Sunrise CHS,2 BHK Residential Apartment in Hadapsar,880 sq.ft. (82 sq.m.) Built-up Area,"₹ 38 Lac₹ 4,318/sq.ft."
shiv kunj society,2 BHK Residential Apartment in Hadapsar,835 sq.ft. (78 sq.m.) Super built-up Area,"₹ 50 Lac₹ 5,989/sq.ft."
Prabhas Oasis,1 BHK Residential Apartment in Manjari Budruk,737 sq.ft. (68 sq.m.) Super built-up Area,"₹ 25 Lac₹ 3,528/sq.ft."
Dreams Aakruti,1 BHK Residential Apartment in Hadapsar,706 sq.ft. (66 sq.m.) Carpet Area,"₹ 38 Lac₹ 5,382/sq.ft."
,2 BHK Independent Builder Floor in Kalepadal,750 sq.ft. (70 sq.m.) Built-up Area,"₹ 38 Lac₹ 5,067/sq.ft."
Sukhwani Emerald,3 BHK Residential Apartment in Hadapsar,"1,300 sq.ft. (121 sq.m.) Super built-up Area","₹ 1.35 Cr₹ 8,846/sq.ft."
Silver Tower,2 BHK Residential Apartment in Hadapsar,965 sq.ft. (90 sq.m.) Carpet Area,"₹ 60 Lac₹ 6,217/sq.ft."
Shiv Zen World,2 BHK Residential Apartment in Manjri,948 sq.ft. (88 sq.m.) Super built-up Area,"₹ 53 Lac₹ 5,591/sq.ft."
PM Hills Apartment,2 BHK Residential Apartment in Ramtekadi,830 sq.ft. (77 sq.m.) Super built-up Area,"₹ 38 Lac₹ 4,578/sq.ft."
Nilesh Prestige,2 BHK Residential Apartment in Hadapsar,782 sq.ft. (73 sq.m.) Super built-up Area,"₹ 41 Lac₹ 5,242/sq.ft."
Dreams Elegance,2 BHK Residential Apartment in Hadapsar,"1,060 sq.ft. (98 sq.m.) Super built-up Area","₹ 50 Lac₹ 4,717/sq.ft."
,1 BHK Independent Builder Floor in Manjari Budruk,587 sq.ft. (55 sq.m.) Built-up Area,"₹ 25 Lac₹ 4,258/sq.ft."
Kalpataru Serenity,2 BHK Residential Apartment in Manjri,924 sq.ft. (86 sq.m.) Built-up Area,"₹ 75 Lac₹ 8,116/sq.ft."
Satyam Oak Vista,1 BHK Residential Apartment in Kale Padal,480 sq.ft. (45 sq.m.) Carpet Area,"₹ 34 Lac₹ 7,083/sq.ft."
BK Jhala Tranquility Phase 1,3 BHK Residential Apartment in Shewalewadi,"2,000 sq.ft. (186 sq.m.) Super built-up Area","₹ 1 Cr₹ 5,000/sq.ft."
dreams estate society,1 BHK Residential Apartment in Hadapsar,637 sq.ft. (59 sq.m.) Super built-up Area,"₹ 27 Lac₹ 4,500/sq.ft."
Blossom leaf Ramtekdi Hadapsar,2 BHK Residential Apartment in Ramtekadi,806 sq.ft. (75 sq.m.) Carpet Area,"₹ 60 Lac₹ 7,444/sq.ft."
Yash Ravi Park,1 BHK Residential Apartment in Hadapsar,560 sq.ft. (52 sq.m.) Super built-up Area,"₹ 32 Lac₹ 5,714/sq.ft."
Nilesh Samruddhi,2 BHK Residential Apartment in Hadapsar,976 sq.ft. (91 sq.m.) Super built-up Area,"₹ 48 Lac₹ 4,919/sq.ft."
namo residency,1 BHK Residential Apartment in Hadapsar,557 sq.ft. (52 sq.m.) Super built-up Area,"₹ 30 Lac₹ 5,385/sq.ft."
Sankeshwar Sunshine City,1 BHK Residential Apartment in Kalepadal,583 sq.ft. (54 sq.m.) Built-up Area,"₹ 29.15 Lac₹ 5,000/sq.ft."
Venkatesh Residency,2 BHK Residential Apartment in Hadapsar,860 sq.ft. (80 sq.m.) Super built-up Area,"₹ 35 Lac₹ 4,069/sq.ft."
self,1 BHK Residential Apartment in Hadapsar,"1,000 sq.ft. (93 sq.m.) Super built-up Area","₹ 35 Lac₹ 3,500/sq.ft."
Hill Side,2 BHK Residential Apartment in Ramtekadi,921 sq.ft. (86 sq.m.) Built-up Area,"₹ 43 Lac₹ 4,668/sq.ft."
Selene Park,1 BHK Residential Apartment in Hadapsar,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 28 Lac₹ 4,000/sq.ft."
Ram India Sampanna Homes,2 BHK Residential Apartment in Manjri,"1,050 sq.ft. (98 sq.m.) Super built-up Area","₹ 50.5 Lac₹ 4,790/sq.ft."
Mayur Geminus,2 BHK Residential Apartment in Hadapsar,557 sq.ft. (52 sq.m.) Carpet Area,"₹ 41 Lac₹ 7,349/sq.ft."
,3 BHK Independent Builder Floor in Gadital,"1,150 sq.ft. (107 sq.m.) Built-up Area","₹ 75 Lac₹ 6,521/sq.ft."
Tirupati Housing society,1 BHK Residential Apartment in Vitthal Nagar,470 sq.ft. (44 sq.m.) Super built-up Area,"₹ 22 Lac₹ 4,680/sq.ft."
Ram India livogue,2 BHK Residential Apartment in Malwadi,920 sq.ft. (85 sq.m.) Super built-up Area,"₹ 85 Lac₹ 9,240/sq.ft."
Sarita Residency,1 BHK Residential Apartment in Hadapsar,680 sq.ft. (63 sq.m.) Super built-up Area,"₹ 25 Lac₹ 3,676/sq.ft."
Dreams Nandini,2 BHK Residential Apartment in Shewalewadi,"1,195 sq.ft. (111 sq.m.) Super built-up Area","₹ 60 Lac₹ 5,020/sq.ft."
Sunlight Classics,2 BHK Residential Apartment in Hadapsar,884 sq.ft. (82 sq.m.) Built-up Area,"₹ 61.88 Lac₹ 7,000/sq.ft."
Leisure Town,1 BHK Residential Apartment in Hadapsar,316 sq.ft. (29 sq.m.) Carpet Area,"₹ 42 Lac₹ 13,291/sq.ft."
Leisure Town,2 BHK Residential Apartment in Hadapsar,553 sq.ft. (51 sq.m.) Carpet Area,"₹ 63 Lac₹ 11,392/sq.ft."
"Samarth Sankul Mahadevnagar, Manjari Road",2 BHK Residential Apartment in Mahadeonagar,736 sq.ft. (68 sq.m.) Built-up Area,"₹ 48 Lac₹ 6,521/sq.ft."
Dreams Aakruti,1 BHK Residential Apartment in Hadapsar,684 sq.ft. (64 sq.m.) Built-up Area,"₹ 29.5 Lac₹ 4,313/sq.ft."
Selene Park,1 BHK Residential Apartment in Hadapsar,595 sq.ft. (55 sq.m.) Built-up Area,"₹ 27.5 Lac₹ 4,538/sq.ft."
Suda Sangam,2 BHK Independent Builder Floor in Hadapsar,900 sq.ft. (84 sq.m.) Built-up Area,"₹ 62.5 Lac₹ 6,944/sq.ft."
Chourang Smit Shilp Housing Society,1 BHK Residential Apartment in Manjari Budruk,570 sq.ft. (53 sq.m.) Built-up Area,"₹ 25 Lac₹ 4,385/sq.ft."
Arihant Venkateshwara Green City,1 BHK Residential Apartment in Hadapsar,614 sq.ft. (57 sq.m.) Super built-up Area,"₹ 37 Lac₹ 6,026/sq.ft."
Ram India Sampanna Homes,1 BHK Residential Apartment in Manjri,770 sq.ft. (72 sq.m.) Super built-up Area,"₹ 45 Lac₹ 5,844/sq.ft."
Kalpataru Serenity,2 BHK Residential Apartment in Manjri,760 sq.ft. (71 sq.m.) Built-up Area,"₹ 60 Lac₹ 7,895/sq.ft."
KRUSHNAKUNJ COMPLEX,1 BHK Residential Apartment in Satavwadi,435 sq.ft. (40 sq.m.) Carpet Area,"₹ 27 Lac₹ 6,207/sq.ft."
Mhada Society,1 BHK Residential Apartment in Hadapsar,675 sq.ft. (63 sq.m.) Super built-up Area,"₹ 35 Lac₹ 5,185/sq.ft."
Sai Classic Apartment,1 BHK Residential Apartment in Satavwadi,610 sq.ft. (57 sq.m.) Built-up Area,"₹ 34 Lac₹ 5,573/sq.ft."
Rahul East view,2 BHK Residential Apartment in Hadapsar,"1,100 sq.ft. (102 sq.m.) Super built-up Area","₹ 55 Lac₹ 5,000/sq.ft."
Sudha Sangam,1 BHK Residential Apartment in Hadapsar,623 sq.ft. (58 sq.m.) Super built-up Area,"₹ 43 Lac₹ 6,902/sq.ft."
,1 BHK Independent Builder Floor in Hadapsar,544 sq.ft. (51 sq.m.) Built-up Area,"₹ 23 Lac₹ 4,228/sq.ft."
"Matoshri, Hadapsar",1 BHK Residential Apartment in Kalepadal,"1,500 sq.ft. (139 sq.m.) Super built-up Area","₹ 95 Lac₹ 7,916/sq.ft."
Purvanagari,2 BHK Residential Apartment in Suryalok Nagari,900 sq.ft. (84 sq.m.) Super built-up Area,"₹ 54 Lac₹ 6,000/sq.ft."
Venkatesh Residency,2 BHK Residential Apartment in Hadapsar,807 sq.ft. (75 sq.m.) Built-up Area,"₹ 35 Lac₹ 4,337/sq.ft."
Yash Ravi Park,2 BHK Residential Apartment in Hadapsar,854 sq.ft. (79 sq.m.) Super built-up Area,"₹ 54 Lac₹ 6,323/sq.ft."
Punyanagari Apartments,2 BHK Residential Apartment in Hadapsar,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 55 Lac₹ 7,857/sq.ft."
Dreams Elegance,2 BHK Residential Apartment in Hadapsar,"1,036 sq.ft. (96 sq.m.) Super built-up Area","₹ 55 Lac₹ 5,308/sq.ft."
Eitasha Apartments,1 BHK Residential Apartment in Udyog Nagar,562 sq.ft. (52 sq.m.) Super built-up Area,"₹ 39.99 Lac₹ 7,115/sq.ft."
Shanti Nagar Chs,1 BHK Residential Apartment in Hadapsar,540 sq.ft. (50 sq.m.) Super built-up Area,"₹ 31 Lac₹ 5,740/sq.ft."
Oricon Fortune Estates,2 BHK Residential Apartment in Hadapsar,"1,236 sq.ft. (115 sq.m.) Built-up Area","₹ 85 Lac₹ 6,877/sq.ft."
,4 BHK Independent Builder Floor in Manjari Budruk,"1,350 sq.ft. (125 sq.m.) Built-up Area","₹ 50 Lac₹ 3,703/sq.ft."
Ratan Neptune,1 BHK Residential Apartment in Hadapsar,585 sq.ft. (54 sq.m.) Super built-up Area,"₹ 30 Lac₹ 5,470/sq.ft."
Saundarya Edifice,2 BHK Residential Apartment in Udyog Nagar,"1,050 sq.ft. (98 sq.m.) Carpet Area","₹ 77 Lac₹ 7,333/sq.ft."
Windsor Estate,2 BHK Residential Apartment in Hadapsar,765 sq.ft. (71 sq.m.) Built-up Area,"₹ 65 Lac₹ 8,496/sq.ft."
Prathmesh Garden CHS,2 BHK Residential Apartment in Hadapsar,800 sq.ft. (74 sq.m.) Carpet Area,"₹ 65 Lac₹ 8,125/sq.ft."
Smit Charang Shilp,2 BHK Residential Apartment in Hadapsar,725 sq.ft. (67 sq.m.) Built-up Area,"₹ 50 Lac₹ 6,896/sq.ft."
,3 BHK Independent Builder Floor in Kalepadal,"1,475 sq.ft. (137 sq.m.) Built-up Area","₹ 75 Lac₹ 5,084/sq.ft."
Dreams Estate,1 BHK Residential Apartment in Hadapsar,610 sq.ft. (57 sq.m.) Super built-up Area,"₹ 27 Lac₹ 4,427/sq.ft."
Subhash Park,1 BHK Residential Apartment in Hadapsar,600 sq.ft. (56 sq.m.) Built-up Area,"₹ 28 Lac₹ 4,166/sq.ft."
Govinda Heights,1 BHK Residential Apartment in Manjri,480 sq.ft. (45 sq.m.) Super built-up Area,"₹ 20.5 Lac₹ 4,271/sq.ft."
Dreams Aakruti,1 BHK Residential Apartment in Hadapsar,676 sq.ft. (63 sq.m.) Built-up Area,"₹ 40 Lac₹ 5,918/sq.ft."
Subhash Vardhaman Township,1 BHK Residential Apartment in Hadapsar,714 sq.ft. (66 sq.m.) Super built-up Area,"₹ 37 Lac₹ 5,182/sq.ft."
Kalptaru Cerenity,1 BHK Residential Apartment in Hadapsar,565 sq.ft. (52 sq.m.) Super built-up Area,"₹ 37 Lac₹ 6,549/sq.ft."
Shree Samarth Krupa,1 BHK Residential Apartment in North Hadapsar,500 sq.ft. (46 sq.m.) Built-up Area,"₹ 18 Lac₹ 3,600/sq.ft."
Goel Ganga Village,1 BHK Residential Apartment in Udyog Nagar,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 29.5 Lac₹ 4,214/sq.ft."
