Project,Specification,Area,Value
Magarpatta Grevillea,2 BHK Residential Apartment in Magarpatta,900 sq.ft. (84 sq.m.) Super built-up Area,"₹ 74 Lac₹ 8,222/sq.ft."
Dreams Nandini,2 BHK Residential Apartment in Hadapsar,980 sq.ft. (91 sq.m.) Super built-up Area,"₹ 56 Lac₹ 5,714/sq.ft."
Magarpatta Grevillea,2 BHK Residential Apartment in Magarpatta,900 sq.ft. (84 sq.m.) Super built-up Area,"₹ 75 Lac₹ 8,333/sq.ft."
Yash Ravi Park,2 BHK Residential Apartment in Hadapsar,"1,117 sq.ft. (104 sq.m.) Super built-up Area","₹ 53 Lac₹ 4,744/sq.ft."
siddharth shri park,1 BHK Residential Apartment in Satavwadi,592 sq.ft. (55 sq.m.) Built-up Area,"₹ 42.06 Lac₹ 7,104/sq.ft."
Magarpatta City Iris,2 BHK Residential Apartment in Magarpatta,930 sq.ft. (86 sq.m.) Super built-up Area,"₹ 75 Lac₹ 8,064/sq.ft."
Marian Town CHS,3 BHK Residential Apartment in Hadapsar,"1,800 sq.ft. (167 sq.m.) Super built-up Area","₹ 99 Lac₹ 5,500/sq.ft."
,5 Bedroom Independent House in Manjari Budruk,850 sq.ft. (79 sq.m.) Plot Area,"₹ 90 Lac₹ 10,588/sq.ft."
Katariya Apartments,1 BHK Residential Apartment in Sayyed Nagar,700 sq.ft. (65 sq.m.) Super built-up Area,"₹ 20 Lac₹ 2,858/sq.ft."
Ratan Neptune,1 BHK Residential Apartment in Hadapsar,434 sq.ft. (40 sq.m.) Carpet Area,"₹ 23.5 Lac₹ 5,411/sq.ft."
Simplicity Apartments,2 BHK Independent Builder Floor in Hadapsar,781 sq.ft. (73 sq.m.) Carpet Area,"₹ 38 Lac₹ 4,865/sq.ft."
Kwality Vrindavan Heights,2 BHK Residential Apartment in Hadapsar,846 sq.ft. (79 sq.m.) Super built-up Area,"₹ 75 Lac₹ 9,335/sq.ft."
St Patricks town,6 Bedroom Independent House in Hadapsar,"6,280 sq.ft. (583 sq.m.) Plot Area","₹ 4 Cr₹ 6,369/sq.ft."
On Request,1 BHK Residential Apartment in Manjari Budruk,625 sq.ft. (58 sq.m.) Carpet Area,"₹ 22 Lac₹ 3,520/sq.ft."
,Residential property in Manjari Budruk,555 sq.ft. (52 sq.m.) Plot Area,"₹ 22 Lac₹ 3,963/sq.ft."
Kubera Vihar Society,2 BHK Residential Apartment in Hadapsar,875 sq.ft. (81 sq.m.) Super built-up Area,"₹ 62 Lac₹ 7,085/sq.ft."
Samarth Chhaya,1 BHK Residential Apartment in Hadapsar,550 sq.ft. (51 sq.m.) Super built-up Area,"₹ 25 Lac₹ 4,545/sq.ft."
Nisarga classic society,1 BHK Serviced Apartment in Kale Padal,540 sq.ft. (50 sq.m.) Carpet Area,"₹ 29 Lac₹ 5,370/sq.ft."
Arihant Venkateshwara Green City,2 BHK Residential Apartment in Hadapsar,890 sq.ft. (83 sq.m.) Super built-up Area,"₹ 55 Lac₹ 6,179/sq.ft."
Ganga Village,1 BHK Residential Apartment in Hadapsar,610 sq.ft. (57 sq.m.) Super built-up Area,"₹ 25 Lac₹ 4,098/sq.ft."
Mantra Fifth Avenue,2 BHK Residential Apartment in Hadapsar,680 sq.ft. (63 sq.m.) Carpet Area,"₹ 36.5 Lac₹ 5,367/sq.ft."
Arihant Venkateshwara Green City,1 BHK Residential Apartment in Hadapsar,650 sq.ft. (60 sq.m.) Super built-up Area,"₹ 28.5 Lac₹ 4,384/sq.ft."
Kumar Pebble Park,2 BHK Residential Apartment in Hadapsar,980 sq.ft. (91 sq.m.) Super built-up Area,"₹ 43 Lac₹ 4,387/sq.ft."
Freesia,2 BHK Residential Apartment in Manjri,991 sq.ft. (92 sq.m.) Super built-up Area,"₹ 38 Lac₹ 3,834/sq.ft."
Samrat Swastik,1 BHK Residential Apartment in Hadapsar,650 sq.ft. (60 sq.m.) Built-up Area,"₹ 42 Lac₹ 6,461/sq.ft."
Gurukrupa  apartment,1 BHK Residential Apartment in Hadapsar,"1,195 sq.ft. (111 sq.m.) Super built-up Area","₹ 48 Lac₹ 4,016/sq.ft."
Naik Gardenia Residency,2 BHK Residential Apartment in Hadapsar,"1,040 sq.ft. (97 sq.m.) Carpet Area","₹ 58 Lac₹ 5,576/sq.ft."
Magarpatta Annex,2 BHK Residential Apartment in Magarpatta,980 sq.ft. (91 sq.m.) Super built-up Area,"₹ 82 Lac₹ 8,367/sq.ft."
New Front 48 East Park,1 BHK Residential Apartment in Kale Padal,583 sq.ft. (54 sq.m.) Built-up Area,"₹ 29.15 Lac₹ 6,098/sq.ft."
,4 Bedroom Independent House in Hadapsar,580 sq.ft. (54 sq.m.) Plot Area,"₹ 45 Lac₹ 7,759/sq.ft."
Skywards Nirvana,1 BHK Residential Apartment in Hadapsar,412 sq.ft. (38 sq.m.) Carpet Area,"₹ 52 Lac₹ 12,621/sq.ft."
,5 BHK Independent Builder Floor in Hadapsar,"4,350 sq.ft. (404 sq.m.) Super built-up Area","₹ 2.1 Cr₹ 4,827/sq.ft."
